lineID,site,year,rep,phenoValue
65,STBN_2013_KLRS,2013,1,950
11,STBN_2013_KLRS,2013,2,5065
59,STBN_2013_KLRS,2013,3,4850
66,STBN_2013_KLRS,2013,1,4140
3,STBN_2013_KLRS,2013,1,2789
32,STBN_2013_KLRS,2013,3,4175
66,STBN_2013_KLRS,2013,2,3900
58,STBN_2013_KLRS,2013,3,2855
19,STBN_2013_KLRS,2013,2,2530
12,STBN_2013_KLRS,2013,2,2340
3,STBN_2013_KLRS,2013,2,2595
22,STBN_2013_KLRS,2013,2,2150
13,STBN_2013_KLRS,2013,2,2023
20,STBN_2013_KLRS,2013,2,3415
65,STBN_2013_KLRS,2013,3,1190
12,STBN_2013_KLRS,2013,3,2595
48,STBN_2013_KLRS,2013,1,3025
20,STBN_2013_KLRS,2013,1,3285
48,STBN_2013_KLRS,2013,3,3415
45,STBN_2013_KLRS,2013,1,1545
25,STBN_2013_KLRS,2013,3,6440
63,STBN_2013_KLRS,2013,3,2115
58,STBN_2013_KLRS,2013,2,2950
61,STBN_2013_KLRS,2013,2,700
59,STBN_2013_KLRS,2013,2,5115
58,STBN_2013_KLRS,2013,1,3066
14,STBN_2013_KLRS,2013,2,NA
62,STBN_2013_KLRS,2013,1,2978
45,STBN_2013_KLRS,2013,2,1700
60,STBN_2013_KLRS,2013,1,1050
24,STBN_2013_KLRS,2013,2,3624
15,STBN_2013_KLRS,2013,3,5716
61,STBN_2013_KLRS,2013,1,650
